Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
HC Colo #1,612 W Main,-89.39242211,43.06774856,GoogleMap,3918.947368,0.447368421
Heartlands Data Center,1700 Stephen St.,-88.29532718,44.29702111,GoogleMap,3918.947368,0.447368421
RMM Solutions - Appleton,2201 E Enterprise Avenue,-88.3707915,44.2988515,ROOFTOP,3918.947368,0.447368421
WIN - Green Bay Data Center,417 Pine St,-88.01126576,44.51526312,GoogleMap,3918.947368,0.447368421
Wildcard One,Indianhead Drive,-89.66957604,44.79325643,GoogleMap,3918.947368,0.447368421
WIN - Eau Claire Data Center,800 Wisconsin Street,-88.5450649,44.0343249,GEOMETRIC_CENTER,3918.947368,0.447368421
Aventus 715,901 Commerce Dr,-90.1686203,44.63263025,GoogleMap,3918.947368,0.447368421
Lumen Phoenix 3,801 South 16th Street,-87.933263,43.022831,RANGE_INTERPOLATED,77200.83951,8.812881222
iM Critical Pittsburgh,900 Brinton Rd,-85.0098271,43.6291845,RANGE_INTERPOLATED,65574.85714,7.485714286
Netrality - 401 N Broad,401 N Broad,-90.0767059,29.9776514,GEOMETRIC_CENTER,65574.85714,7.485714286
11:11 Systems Philadelphia,401 N Broad Street,-90.0852283,29.9681698,RANGE_INTERPOLATED,65574.85714,7.485714286
Crown Castle Philadelphia (PA1),401 N. Broad Street,-90.0852283,29.9681698,RANGE_INTERPOLATED,65574.85714,7.485714286
Windstream New York,401 N Broad Street,-90.0852283,29.9681698,RANGE_INTERPOLATED,65574.85714,7.485714286
Lumen Philadelphia 1,401 N Broad Street,-90.0852283,29.9681698,RANGE_INTERPOLATED,65574.85714,7.485714286
DE Philly,401 N Broad Street,-90.0852283,29.9681698,RANGE_INTERPOLATED,65574.85714,7.485714286
TierPoint Bethlehem,3864 Courtney Street,-95.331631,29.7867371,RANGE_INTERPOLATED,65574.85714,7.485714286
Lumen Lancaster 1,1720 Hempstead Rd,-95.5003878,29.8305481,GEOMETRIC_CENTER,65574.85714,7.485714286
Lumen Jackson 1,111 E Capitol Street,-83.9165271,43.4740925,RANGE_INTERPOLATED,24309,2.775
RT 3811,3811 West 12 Mile Road,-85.8468023,44.1643386,RANGE_INTERPOLATED,10305.88235,1.176470588
"1010 Technology Center, Inc",1010 US 23 N,-83.438735,45.1425333,GEOMETRIC_CENTER,10305.88235,1.176470588
Digital Enterprise Center,4001 Technology Drive,-95.4400229,29.2100378,ROOFTOP,5071.578947,0.578947368
TierPoint Omaha-Midlands,11425 S. 84th St.,-88.0169503,43.0097439,RANGE_INTERPOLATED,232912.9412,26.58823529
H5 Data Centers Albuquerque,505 Marquette Ave NW,-106.6526183,35.0886967,ROOFTOP,44773.33333,5.111111111
bigbyte.cc Corp.,123 Central Ave. NW,-106.6489984,35.08433883,GoogleMap,44773.33333,5.111111111
Meta Los Lunas Data Center,4250 Messenger Lp,-106.7752309,34.8261326,ROOFTOP,44773.33333,5.111111111
Centersquare - Albuquerque ABQ1,400 Tijeras Ave NW,-106.6517403,35.0865452,ROOFTOP,44773.33333,5.111111111
Windstream Minneapolis,401 2nd Ave S,-86.7666077,33.5288524,GEOMETRIC_CENTER,18318.13333,2.09111111
ipHouse,331 2nd Ave S,-86.7666077,33.5288524,GEOMETRIC_CENTER,18318.13333,2.09111111
Cleveland Data Center,Corporate Drive / 12875,-95.5515824,29.6912295,RANGE_INTERPOLATED,15153.11538,1.729807692
CyrusOne CIN4 - Hamilton,103 Knightsbridge Drive,-97.0969126,49.8343125,RANGE_INTERPOLATED,15153.11538,1.729807692
CenterGrid - Hamilton,101 Knightsbridge Drive,-97.0968763,49.8342755,RANGE_INTERPOLATED,15153.11538,1.729807692
Goldsboro Networks,113 W Edwards St,-92.037582,29.957724,ROOFTOP,43814.36066,5.001639344
Lumen Birmingham 1,2001 Park Place North,-86.80981177,33.51950347,GoogleMap,99280,11.3333333
