Data_center,power_usage_2023_kwh,power_usage_per_hour_2023_kwh,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,market,Number_of_Market_Data_Centers,states,Number_of_States_Data_Centers
Equinix SV12x,33566.97482,3.831846441,95119,-121.7822278,37.2318159,APPROXIMATE,San Jose,31,California,271
Lumen San Jose 2,33566.97482,3.831846441,1400 Kifer Road,-121.9859667,37.3720552,ROOFTOP,San Jose,31,California,271
Lumen San Jose 1,33566.97482,3.831846441,1741 Technology Drive,-90.7702338,38.768228,RANGE_INTERPOLATED,San Jose,31,California,271
Plug and Play Tech Center,33566.97482,3.831846441,440 N Wolfe Road,-90.7702338,38.768228,RANGE_INTERPOLATED,San Jose,31,California,271
Lumen San Jose,33566.97482,3.831846441,1380 Kifer Road,-121.9876548,37.3734237,ROOFTOP,San Jose,31,California,271
NaviSIte San Jose,33566.97482,3.831846441,2720 Zanker Road,-121.9266896,37.3926895,ROOFTOP,San Jose,31,California,271
QTS San Jose,33566.97482,3.831846441,9 Great Oaks Boulevard,-121.7816047,37.2418698,ROOFTOP,San Jose,31,California,271
365 Main Street (SFO12),33566.97482,3.831846441,365 Main Street,-122.3906972,37.78863243,GoogleMap,San Francisco,16,California,271
200 Paul Avenue (SFO10),33566.97482,3.831846441,200 Paul Avenue,-122.7040489,48.2509527,GEOMETRIC_CENTER,San Francisco,16,California,271
Fortress Data Centers,33566.97482,3.831846441,274 Brannan Street,-122.3917204,37.7823363,ROOFTOP,San Francisco,16,California,271
Novva San Francisco,33566.97482,3.831846441,400 Paul Ave,-122.3989633,37.7244668,GoogleMap,San Francisco,16,California,271
Colocation America SFDC1,33566.97482,3.831846441,200 Paul Ave,-122.398056,37.7237107,GoogleMap,San Francisco,16,California,271
Data Center 360 Spear Street,33566.97482,3.831846441,360 Spear Street,-122.3899881,37.7890842,ROOFTOP,San Francisco,16,California,271
UnitedLayer San Francisco,33566.97482,3.831846441,200 Paul Ave,-122.398056,37.7237107,GoogleMap,San Francisco,16,California,271
Centersquare - Silicon Valley SFO3-A,33566.97482,3.831846441,1400 Kifer Rd,-121.9859667,37.3720552,ROOFTOP,San Francisco,16,California,271
Data Center 365 Main Street,33566.97482,3.831846441,365 Main Street,-122.3906972,37.78863243,GoogleMap,San Francisco,16,California,271
Centersquare - Silicon Valley SFO3-B,33566.97482,3.831846441,1320 Kifer Rd,-121.9889122,37.3727964,ROOFTOP,San Francisco,16,California,271
CoreSite Santa Clara (SV6),33566.97482,3.831846441,3001 Coronado Dr,-121.9721265,37.37628745,GoogleMap,San Francisco,16,California,271
Lumen San Francisco 1,33566.97482,3.831846441,185 Berry Street,-73.9619028,40.7159283,GEOMETRIC_CENTER,San Francisco,16,California,271
Lumen San Francisco 3,33566.97482,3.831846441,200 Paul Avenue,-122.7040489,48.2509527,GEOMETRIC_CENTER,San Francisco,16,California,271
Data Canopy - San Francisco,33566.97482,3.831846441,630 Third Street,-122.3940731,37.7793699,ROOFTOP,San Francisco,16,California,271
JMA Wired,33566.97482,3.831846441,360 Spear St,-122.3899881,37.7890842,ROOFTOP,San Francisco,16,California,271
ColoServe 360 Spear,33566.97482,3.831846441,360 Spear St,-122.3899881,37.7890842,ROOFTOP,San Francisco,16,California,271
Equinix SV8,33566.97482,3.831846441,529 Bryant St,-122.4066666,37.7727836,GEOMETRIC_CENTER,Palo Alto,2,California,271
AT&T 3175 Spring,33566.97482,3.831846441,3175 Spring Street,-74.0015481,40.7243731,GEOMETRIC_CENTER,Palo Alto,2,California,271
MDC San Diego - SDG1,33566.97482,3.831846441,7014 Manya Cir,-117.0853541,32.594201,ROOFTOP,San Diego,14,California,271
EdgeConneX San Diego - EDCSDG01,33566.97482,3.831846441,5761 Copley Drive,-117.1696933,32.8414243,ROOFTOP,San Diego,14,California,271
DataBank SAN1 - San Diego World Trade,33566.97482,3.831846441,12270 World Trade Drive,-117.0731695,32.9884186,ROOFTOP,San Diego,14,California,271
I2B Networks San Diego,33566.97482,3.831846441,8830 Complex Dr,-117.136791,32.8301744,ROOFTOP,San Diego,14,California,271
LightEdge - San Diego I,33566.97482,3.831846441,9305 Lightwave Ave,-117.1298762,32.8278833,ROOFTOP,San Diego,14,California,271
ScaleMatrix San Diego ,33566.97482,3.831846441,5775 Kearny Villa Rd,-117.1331851,32.8382046,ROOFTOP,San Diego,14,California,271
Cogent Data Center - San Diego 2,33566.97482,3.831846441,9530 Towne Centre Drive,-117.2095055,32.8805492,ROOFTOP,San Diego,14,California,271
Cogent Data Center - San Diego 1,33566.97482,3.831846441,525 B Street,-117.1597364,32.7176935,ROOFTOP,San Diego,14,California,271
DataBank SAN2 - San Diego Aero Drive,33566.97482,3.831846441,9606 Aero Drive,-117.121087,32.8101296,ROOFTOP,San Diego,14,California,271
LightEdge - San Diego II,33566.97482,3.831846441,9725 Scranton Road,-117.2010501,32.8971493,ROOFTOP,San Diego,14,California,271
Lumen San Diego 1,33566.97482,3.831846441,8929 Aero Drive,-117.1358985,32.8085889,ROOFTOP,San Diego,14,California,271
CARI.net,33566.97482,3.831846441,8929 Complex Drive,-117.13372,32.82962,ROOFTOP,San Diego,14,California,271
Lumen San Diego 2,33566.97482,3.831846441,8923 Complex Drive,-117.134171,32.829841,ROOFTOP,San Diego,14,California,271
SimpleNet Colo,33566.97482,3.831846441,225 Broadway,-74.0085731,40.7119649,ROOFTOP,San Diego,14,California,271
1100 Space Park Dr (SJC10),33566.97482,3.831846441,1100 Space Park Drive,-95.1032381,29.5460661,ROOFTOP,Santa Clara,64,California,271
3105 Alfred Rd (SJC30),33566.97482,3.831846441,3105 Alfred Road,-121.9581002,37.37826676,GoogleMap,Santa Clara,64,California,271
2820 Northwestern Pkwy (SJC34),33566.97482,3.831846441,2820 Northwestern Pkwy,-121.9736174,37.3724282,ROOFTOP,Santa Clara,64,California,271
1500 Space Park Dr (SJC14),33566.97482,3.831846441,1500 Space Park Dr,-121.9551544,37.3757193,ROOFTOP,Santa Clara,64,California,271
3205 Alfred St (SJC35),33566.97482,3.831846441,3205 Alfred Street,144.9501963,-37.831778,GEOMETRIC_CENTER,Santa Clara,64,California,271
1525 Comstock St (SJC16),33566.97482,3.831846441,1525 Comstock Street,-116.0090471,36.199322,RANGE_INTERPOLATED,Santa Clara,64,California,271
2805 Lafayette St (SJC31),33566.97482,3.831846441,2805 Lafayette Street,-73.9970957,40.7222954,GEOMETRIC_CENTER,Santa Clara,64,California,271
2220 De La Cruz Blvd (SC1),33566.97482,3.831846441,2220 De La Cruz Boulevard,-121.9434003,37.3619616,GEOMETRIC_CENTER,Santa Clara,64,California,271
1201 Comstock St (SJC15),33566.97482,3.831846441,1201 Comstock Street,-116.0082562,36.2000151,ROOFTOP,Santa Clara,64,California,271
1725 Comstock St (SJC29),33566.97482,3.831846441,1725 Comstock Street,-116.0092209,36.1992526,RANGE_INTERPOLATED,Santa Clara,64,California,271
3011 Lafayette St (SJC11),33566.97482,3.831846441,3011 Lafayette Street,-73.9970957,40.7222954,GEOMETRIC_CENTER,Santa Clara,64,California,271
641 Walsh Ave (SJC37),33566.97482,3.831846441,641 Walsh Ave,-121.9469251,37.3709096,ROOFTOP,Santa Clara,64,California,271
2045 & 2055 LaFayette St (SJC17),33566.97482,3.831846441,2045 & 2055 LaFayette Street,-73.9970957,40.7222954,GEOMETRIC_CENTER,Santa Clara,64,California,271
